Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,State,Region,Product ID,Product Name,Category,Sub-Category,Sales,Quantity,Discount,Profit,Year,Month,Month Name
Row ID 1,CA-2023-100001,2023-03-18,2023-03-20,Second Class,CG-39256,Customer_CG-39256,Consumer,Colorado,West,FUR-PHO-65302,Cisco SPA504G,Technology,Phones,109.61,1,0.1,13.13,2023,3,Mar
Row ID 2,CA-2023-100002,2023-04-25,2023-04-25,Same Day,CG-38893,Customer_CG-38893,Corporate,Texas,Central,FUR-FUR-46421,Fiskars Clamp-Style Puncher,Furniture,Furnishings,33.49,3,0.3,2.7,2023,4,Apr
Row ID 3,CA-2023-100003,2023-12-08,2023-12-10,First Class,CG-15695,Customer_CG-15695,Home Office,Louisiana,South,FUR-FUR-82357,Eldon Shelf Organizer,Furniture,Furnishings,95.07,5,0.3,21.22,2023,12,Dec
Row ID 4,CA-2023-100004,2023-01-10,2023-01-11,First Class,CG-20458,Customer_CG-20458,Consumer,Nevada,West,FUR-PEN-57819,Avery Marks-A-Lot,Office Supplies,Pens,15.36,3,0.1,3.86,2023,1,Jan
Row ID 5,CA-2023-100005,2023-01-13,2023-01-17,Second Class,CG-31417,Customer_CG-31417,Corporate,Tennessee,South,FUR-ACC-52504,Fellowes Powershred,Technology,Accessories,66.87,1,0.0,19.49,2023,1,Jan
Row ID 6,CA-2023-100006,2023-11-17,2023-11-18,First Class,CG-37869,Customer_CG-37869,Home Office,Alabama,South,FUR-COP-44718,Canon PC1080F Copier,Technology,Copiers,2588.11,3,0.2,709.41,2023,11,Nov
Row ID 7,CA-2023-100007,2023-10-20,2023-10-23,Second Class,CG-28131,Customer_CG-28131,Home Office,Florida,South,FUR-BOO-92240,Bush Somerset Collection Bookcase,Furniture,Bookcases,442.27,3,0.4,87.66,2023,10,Oct
Row ID 8,CA-2023-100008,2023-12-03,2023-12-05,First Class,CG-82512,Customer_CG-82512,Consumer,Colorado,West,FUR-MAC-54587,Brother HL-2270DW Printer,Technology,Machines,807.31,2,0.0,150.25,2023,12,Dec
Row ID 9,CA-2023-100009,2024-04-06,2024-04-07,First Class,CG-93748,Customer_CG-93748,Home Office,Pennsylvania,East,FUR-STO-79514,GBC DocuBind,Office Supplies,Storage,23.39,1,0.5,-2.11,2024,4,Apr
Row ID 10,CA-2023-100010,2023-12-26,2023-12-28,Second Class,CG-84364,Customer_CG-84364,Consumer,Colorado,West,FUR-LAB-26483,Avery Removable Labels,Office Supplies,Labels,22.34,3,0.0,2.89,2023,12,Dec
Row ID 11,CA-2023-100011,2023-04-20,2023-04-21,First Class,CG-62296,Customer_CG-62296,Home Office,Michigan,Central,FUR-COP-42493,Canon PC1080F Copier,Technology,Copiers,3962.93,4,0.0,897.57,2023,4,Apr
Row ID 12,CA-2023-100012,2024-05-10,2024-05-17,Standard Class,CG-92719,Customer_CG-92719,Consumer,New York,East,FUR-TAB-77391,Bretford CR8500 Table,Furniture,Tables,2005.06,4,0.5,14.27,2024,5,May
Row ID 13,CA-2023-100013,2024-08-18,2024-08-22,Second Class,CG-71993,Customer_CG-71993,Corporate,New York,East,FUR-FUR-65519,Fiskars Clamp-Style Puncher,Furniture,Furnishings,124.34,7,0.0,31.33,2024,8,Aug
Row ID 14,CA-2023-100014,2023-03-11,2023-03-13,First Class,CG-24322,Customer_CG-24322,Consumer,Pennsylvania,East,FUR-COP-65296,Canon PC1080F Copier,Technology,Copiers,2953.0,3,0.1,922.36,2023,3,Mar
Row ID 15,CA-2023-100015,2024-10-15,2024-10-21,Standard Class,CG-95477,Customer_CG-95477,Home Office,California,West,FUR-CHA-73653,Bretford CR4500 Chair,Furniture,Chairs,2210.21,8,0.4,776.27,2024,10,Oct
Row ID 16,CA-2023-100016,2024-07-16,2024-07-18,First Class,CG-69638,Customer_CG-69638,Corporate,Louisiana,South,FUR-COP-34890,Canon PC1080F Copier,Technology,Copiers,5322.48,5,0.0,1190.93,2024,7,Jul
Row ID 17,CA-2023-100017,2023-06-25,2023-06-28,Standard Class,CG-16572,Customer_CG-16572,Home Office,Louisiana,South,FUR-ACC-76562,Logitech G602 Mouse,Technology,Accessories,148.27,2,0.0,33.88,2023,6,Jun
Row ID 18,CA-2023-100018,2023-02-09,2023-02-12,Second Class,CG-85880,Customer_CG-85880,Home Office,Utah,West,FUR-FUR-86503,SAFCO Upright Mobile Pedestal,Furniture,Furnishings,419.79,10,0.2,46.71,2023,2,Feb
Row ID 19,CA-2023-100019,2024-02-14,2024-02-17,Second Class,CG-98039,Customer_CG-98039,Home Office,Michigan,Central,FUR-LAB-70068,Avery File Folder Labels,Office Supplies,Labels,59.97,10,0.0,4.32,2024,2,Feb
Row ID 20,CA-2023-100020,2024-05-27,2024-05-28,First Class,CG-19016,Customer_CG-19016,Consumer,Ohio,Central,FUR-FUR-49651,SAFCO Upright Mobile Pedestal,Furniture,Furnishings,620.64,10,0.0,155.38,2024,5,May
Row ID 21,CA-2023-100021,2023-06-13,2023-06-17,Second Class,CG-44664,Customer_CG-44664,Consumer,Colorado,West,FUR-ACC-46930,Plantronics CS510 Headset,Technology,Accessories,1114.15,10,0.3,123.76,2023,6,Jun
Row ID 22,CA-2023-100022,2023-03-23,2023-03-25,First Class,CG-16658,Customer_CG-16658,Consumer,Tennessee,South,FUR-BOO-27146,Sauder Classic Bookcase,Furniture,Bookcases,389.08,5,0.5,68.42,2023,3,Mar
Row ID 23,CA-2023-100023,2023-10-21,2023-10-28,Standard Class,CG-29536,Customer_CG-29536,Home Office,Oregon,West,FUR-ACC-26704,Plantronics CS510 Headset,Technology,Accessories,166.19,1,0.0,53.13,2023,10,Oct
Row ID 24,CA-2023-100024,2024-05-30,2024-05-31,First Class,CG-83385,Customer_CG-83385,Corporate,Pennsylvania,East,FUR-CHA-13248,Bretford CR4500 Chair,Furniture,Chairs,1195.33,3,0.3,340.33,2024,5,May
