Row ID,Order ID,Order Date,Ship Date,Ship Mode,Segment,Region,State,Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2022-001000,2021-06-28,2021-07-03,Standard Class,Consumer,West,Washington,Furniture,Bookcase,809.2,7,0.0,-19.0
2,CA-2023-001001,2021-01-14,2021-01-21,First Class,Corporate,East,Virginia,Technology,Printer,1625.32,3,0.15,216.75
3,CA-2021-001002,2022-12-06,2022-12-11,First Class,Consumer,Central,Texas,Furniture,Filing Cabinet,3443.93,5,0.3,301.96
4,CA-2021-001002,2022-01-29,2022-02-04,First Class,Home Office,South,Florida,Office Supplies,Stapler,8.85,2,0.05,3.62
5,CA-2023-001003,2021-11-30,2021-12-03,First Class,Corporate,East,New York,Technology,Phone,1146.26,6,0.1,298.65
6,CA-2021-001004,2023-02-17,2023-02-20,Same Day,Consumer,East,Virginia,Office Supplies,Notebooks,112.76,9,0.15,49.29
7,CA-2022-001005,2022-03-09,2022-03-14,Standard Class,Corporate,East,New York,Technology,Monitor,902.96,6,0.3,152.32
8,CA-2023-001006,2023-05-28,2023-06-02,First Class,Home Office,East,New Jersey,Furniture,Bookcase,3398.08,7,0.0,266.19
9,CA-2023-001006,2023-05-15,2023-05-20,Second Class,Home Office,West,California,Furniture,Bookcase,715.32,2,0.3,60.94
10,CA-2023-001006,2021-08-17,2021-08-20,First Class,Corporate,West,California,Office Supplies,Folders,78.19,7,0.0,37.65
11,CA-2023-001006,2023-11-06,2023-11-11,First Class,Consumer,Central,Indiana,Furniture,Sofa,1004.72,4,0.0,89.2
12,CA-2021-001007,2022-05-06,2022-05-07,First Class,Corporate,Central,Michigan,Furniture,Office Chair,4253.48,4,0.0,-297.83
13,CA-2022-001008,2021-12-05,2021-12-08,Same Day,Home Office,West,Arizona,Furniture,Bookcase,7611.34,9,0.2,1807.9
14,CA-2022-001008,2023-06-17,2023-06-22,First Class,Home Office,East,New Jersey,Technology,Keyboard,1028.05,8,0.05,71.15
15,CA-2022-001008,2021-01-15,2021-01-16,Second Class,Home Office,West,Arizona,Office Supplies,Notebooks,15.28,1,0.0,6.78
16,CA-2022-001008,2022-03-15,2022-03-20,Same Day,Home Office,West,Arizona,Furniture,Desk,1869.31,3,0.3,-27.95
17,CA-2023-001009,2022-12-27,2022-12-31,Same Day,Home Office,South,Georgia,Furniture,Office Chair,4221.49,7,0.0,572.76
18,CA-2023-001009,2022-05-25,2022-05-27,Standard Class,Corporate,West,California,Technology,Keyboard,1986.28,4,0.0,350.71
19,CA-2023-001009,2021-04-14,2021-04-20,Standard Class,Corporate,Central,Michigan,Furniture,Office Chair,9147.15,9,0.0,2051.05
20,CA-2023-001009,2023-04-02,2023-04-03,Second Class,Corporate,East,Pennsylvania,Technology,Monitor,863.3,3,0.2,111.85
21,CA-2021-001010,2021-11-14,2021-11-16,Same Day,Home Office,Central,Michigan,Office Supplies,Tape,73.15,5,0.0,24.26
22,CA-2021-001010,2023-10-27,2023-11-03,Same Day,Home Office,West,Washington,Furniture,Office Chair,2306.88,9,0.0,456.69
23,CA-2021-001010,2022-05-20,2022-05-25,Standard Class,Corporate,West,Arizona,Furniture,Bookcase,1245.1,10,0.0,58.18
24,CA-2021-001010,2023-03-22,2023-03-24,First Class,Consumer,Central,Ohio,Furniture,Desk,2960.45,5,0.0,-286.39
25,CA-2022-001011,2022-12-16,2022-12-17,Second Class,Corporate,West,Arizona,Furniture,Sofa,1975.48,4,0.0,105.42
26,CA-2023-001012,2022-06-26,2022-06-27,Second Class,Consumer,West,Arizona,Technology,Keyboard,1351.8,2,0.0,178.04
27,CA-2023-001012,2022-05-30,2022-06-06,Same Day,Home Office,East,New Jersey,Furniture,Desk,146.7,1,0.2,27.91
28,CA-2023-001012,2021-11-27,2021-12-03,First Class,Home Office,West,California,Technology,Printer,3263.74,8,0.2,712.38
29,CA-2023-001013,2023-05-31,2023-06-02,Second Class,Corporate,West,Oregon,Office Supplies,Pens,19.88,1,0.0,9.14
30,CA-2021-001014,2022-04-30,2022-05-07,Second Class,Corporate,East,New York,Technology,USB Hub,2637.9,3,0.0,829.42
31,CA-2021-001014,2022-07-01,2022-07-03,Second Class,Corporate,West,Oregon,Office Supplies,Stapler,48.38,2,0.0,21.45
32,CA-2023-001015,2021-02-18,2021-02-24,Second Class,Consumer,East,Massachusetts,Technology,Phone,1356.01,4,0.1,419.42
33,CA-2023-001015,2021-02-26,2021-02-27,First Class,Corporate,Central,Ohio,Office Supplies,Folders,55.62,5,0.1,6.41
34,CA-2022-001016,2023-02-28,2023-03-05,Standard Class,Home Office,Central,Ohio,Technology,USB Hub,805.15,4,0.2,40.67
35,CA-2022-001016,2022-10-05,2022-10-11,First Class,Home Office,East,New Jersey,Technology,Laptop,1181.14,2,0.1,238.75
36,CA-2022-001016,2022-01-28,2022-02-01,Second Class,Corporate,South,North Carolina,Technology,Keyboard,4334.89,7,0.0,1017.2
37,CA-2022-001016,2022-03-07,2022-03-11,First Class,Corporate,Central,Michigan,Office Supplies,Pens,316.11,10,0.15,90.41
38,CA-2023-001017,2022-08-05,2022-08-10,Standard Class,Consumer,East,Virginia,Technology,Keyboard,3055.3,10,0.05,769.44
39,CA-2023-001017,2023-09-01,2023-09-06,Second Class,Consumer,East,Pennsylvania,Furniture,Office Chair,1121.13,2,0.05,169.76
40,CA-2023-001017,2021-08-07,2021-08-14,Standard Class,Consumer,South,Tennessee,Technology,Printer,1079.91,7,0.3,70.26
41,CA-2023-001017,2023-06-26,2023-07-01,First Class,Corporate,East,New York,Technology,Printer,2527.94,9,0.3,806.82
42,CA-2021-001018,2022-05-05,2022-05-08,Same Day,Home Office,South,North Carolina,Furniture,Desk,1200.82,8,0.1,-21.53
43,CA-2021-001018,2022-04-19,2022-04-23,Second Class,Consumer,Central,Ohio,Office Supplies,Pens,128.91,3,0.0,34.28
44,CA-2021-001018,2023-05-11,2023-05-15,Second Class,Consumer,Central,Indiana,Technology,Monitor,8530.7,10,0.0,2619.09
45,CA-2021-001018,2023-05-09,2023-05-14,Same Day,Corporate,South,Tennessee,Furniture,Desk,8343.52,9,0.05,591.39
46,CA-2022-001019,2021-12-05,2021-12-12,Same Day,Corporate,South,Tennessee,Furniture,Filing Cabinet,8879.12,8,0.0,1930.54
47,CA-2022-001019,2022-01-08,2022-01-09,Same Day,Consumer,West,California,Office Supplies,Paper Ream,113.95,5,0.05,32.12
48,CA-2022-001019,2023-08-22,2023-08-23,Standard Class,Corporate,Central,Michigan,Technology,Monitor,576.12,9,0.15,67.56
49,CA-2022-001020,2022-05-04,2022-05-06,Second Class,Consumer,West,California,Furniture,Bookcase,6306.4,8,0.05,395.8
50,CA-2023-001021,2021-12-02,2021-12-05,Standard Class,Home Office,Central,Illinois,Office Supplies,Folders,64.01,2,0.1,21.14
51,CA-2023-001021,2021-07-28,2021-08-03,Second Class,Consumer,South,Tennessee,Office Supplies,Notebooks,256.6,5,0.0,107.38
52,CA-2023-001021,2021-05-22,2021-05-27,First Class,Home Office,West,Washington,Office Supplies,Paper Ream,13.1,6,0.2,5.62
53,CA-2023-001022,2023-06-11,2023-06-13,Second Class,Home Office,South,North Carolina,Office Supplies,Paper Ream,469.8,9,0.1,162.72
